ID Wavy;Data;Hora;X;Y;Z
WAVY123;23/04/2025;19:51:11;0,073;1672
WAVY_JSON;23/04/2025;19:51:14;0.046;16242
WAVY123;23/04/2025;19:51:16;0,008;14320
WAVY_JSON;23/04/2025;19:51:19;0.008;11664
WAVY123;23/04/2025;19:51:21;0,065;11291
WAVY_JSON;23/04/2025;19:51:24;0.041;7565
WAVY123;23/04/2025;19:51:26;0,097;3191
WAVY_JSON;23/04/2025;19:51:29;0.066;14331
WAVY123;23/04/2025;19:51:31;0,056;16710
WAVY_JSON;23/04/2025;19:51:34;0.023;19418
WAVY123;23/04/2025;19:51:36;0,051;16588
WAVY_JSON;23/04/2025;19:51:39;0.04;370
WAVY_JSON;23/04/2025;19:51:44;0.065;2803
WAVY_JSON;23/04/2025;19:51:49;0.018;11266
WAVY_JSON;23/04/2025;19:51:54;0.083;17405
