ID Wavy;Data;Hora;X;Y;Z
WAVY123;23/04/2025;19:51:11;0,095;0,469
WAVY_JSON;23/04/2025;19:51:14;0.025;0.084
WAVY123;23/04/2025;19:51:16;0,003;0,355
WAVY_JSON;23/04/2025;19:51:19;0.046;0.362
WAVY123;23/04/2025;19:51:21;0,010;0,347
WAVY_JSON;23/04/2025;19:51:24;0.038;0.472
WAVY123;23/04/2025;19:51:26;0,021;0,100
WAVY_JSON;23/04/2025;19:51:29;0.042;0.072
WAVY123;23/04/2025;19:51:31;0,091;0,227
WAVY_JSON;23/04/2025;19:51:34;0.04;0.008
WAVY123;23/04/2025;19:51:36;0,088;0,266
WAVY_JSON;23/04/2025;19:51:39;0.073;0.464
WAVY_JSON;23/04/2025;19:51:44;0.033;0.447
WAVY_JSON;23/04/2025;19:51:49;0.098;0.057
WAVY_JSON;23/04/2025;19:51:54;0.097;0.366
